FRB,ra,ra_err,dec,dec_err,DMobs,e_DMobs_up,e_DMobs_low,zsp,e_zsp,width,e_width_up,e_width_low,flux,e_flux_up,e_flux_low,fluence,e_fluence_up,e_fluence_low,rep,age,telescope,peak_freq,Central_Frequency,Inst_Bandwidth,sp_idx,sp_idx_err,logMstar(Msun),e_logMstar_up,e_logMstar_low,SFR(Msun/yr),e_SFR_up,e_SFR_low,host,ra_host,dec_host,ref,source,logMstar,log(Z),e_log(Z)_up,e_log(Z)_low,SFR,e_SFRr_up,tm,e_tm_up,e_tm_low,MB,MU,Mg,MR,MI,MZ,My,W1,W2,W3,W4,MV,MJ,MH,MK,F110W,F160W,F300X,CH1,FUV,NUV,GL_deg,GB_deg,DM_ism,DM_halo,H0_70_DM_host,H0_70_xval_label,DM_e,rest_width,DL,νW,Lν,TB_K,Energy,mst_central_label,pca_kmeans_label,2feature_mst_central_label,2feature_pca_kmeans_label
20240304B,182.997,7.778e-05,11.813,0.0001333,2458.2,0.01,0.01,2.148,0.001,-9999.0,-9999,-9999,0.49,0.01,0.01,2.75,0.05,0.05,0.0,-9999.0,MeerKAT,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,6.89,0.06,0.01,0.15,-9999.0,-9999.0,-9999,182.99704,11.81295,2508.01648,only_in_chun,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,269.86752365,72.10350314,28.152708053588867,32.25630677463428,188.3762274000159,1.0,2397.790985171777,-9999.0,17389.291406574415,-9999.0,1.772845156653841e+35,-9999.0,1.896373796436245e+45,0,2,0,0
20250316A,182.43466,0.0,58.84908,0.0,161.82,0.02,0.02,0.0067,-9999.0,0.266,0.0004|0.003,0.0004|0.003,1200.0,100.0,100.0,1700.0,200.0,200.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,NGC 4141,182.44728,58.84912,2506.19006,only_in_chun,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,132.95353166,57.46046927,32.282203674316406,30.784184457810422,92.8869489661906,0.0,98.75361186787316,0.2642296612694944,29.97118919149537,-9999.0,1.2897340057533e+33,-9999.0,1.0889777539389144e+43,1,3,1,2
20240208A,159.229625,-9999.0,-0.954444444,-9999.0,260.2,0.3,0.3,0.39,0.1,7.1,-9999.0,-9999.0,5.211267605633803,-9999.0,-9999.0,37.0,3.0,3.0,0.0,-9999.0,ASKAP,-9999.0,863.5,336.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2408.02083,only_in_lin,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,24.132,22.774,21.89,21.615,20.791,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,248.39448267,47.16670562,38.968231201171875,32.51104909718545,-9999.0,-9999.0,188.72071970164268,5.1079136690647475,2181.667424776349,0.00613085,2.967778087975837e+34,7.258916044041439e+34,9.095492557393575e+44,2,3,2,1
20240318A,150.3931667,-9999.0,37.61636111,-9999.0,256.4,0.3,0.3,0.12,0.04,4.7,-9999.0,-9999.0,3.1914893617021276,-9999.0,-9999.0,15.0,1.0,1.0,0.0,-9999.0,ASKAP,-9999.0,920.5,336.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2408.02083,only_in_lin,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,19.51,18.88,18.56,18.36,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,185.56856047,52.97379811,36.839595794677734,29.888169096125708,83.22374214540292,0.0,189.67223510919655,4.196428571428571,580.8557427865844,0.00432635,1.2883709698883186e+33,6.328187808270374e+33,3.2439340491830877e+43,2,3,2,1
20240209A,289.85036,-9999.0,86.0609,-9999.0,176.57,-9999.0,-9999.0,0.1384,0.004,23.4,-9999.0,-9999.0,20.9,2.5,2.5,324.9,33.4,33.4,1.0,0.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.01,0.01,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2410.023336/2410.23374,only_in_lin,11.34,0.19,0.01,0.01,0.36,-9999.0,11.33,0.04,2.92,-9999.0,-9999.0,-9999.0,16.79,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,118.55920352,26.58117824,55.50326919555664,34.924978671723125,-9999.0,-9999.0,86.14175213272023,20.55516514406184,677.7618527403746,-9999.0,1.1487128601855585e+34,-9999.0,9.411769265878611e+44,0,3,2,2
20240114A,321.9160833,-9999.0,4.329169444,-9999.0,527.65,0.01,0.01,0.13,0.0002,8.8,-9999.0,-9999.0,0.2772727272727272,-9999.0,-9999.0,2.44,0.26,0.26,1.0,-9999.0,MeerKAT,-9999.0,847.0,544.0,2.84,1.45,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2408.10988,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,23.028,22.589,22.094,21.856,21.879,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,57.48089166,-31.65142427,49.6723747253418,45.046591852178295,290.453979457821,1.0,432.9310334224799,7.787610619469028,633.2765982279261,0.0074536,1.3304696984830215e+32,2.201681806447671e+32,6.216707971672881e+42,1,1,0,0
20220501C,352.3791667,-9999.0,-32.49072222,-9999.0,449.5,0.2,0.2,0.381,-9999.0,9.5,-9999.0,-9999.0,3.3684210526315788,-9999.0,-9999.0,32.0,2.0,2.0,0.0,-9999.0,ASKAP,-9999.0,864.5,336.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2408.02083,in_both,10.581,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,12.494,-9999.0,21.49,-9999.0,20.47,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,11.17768922,-71.47306931,30.622514724731445,35.26062163625432,46.42227654685482,0.0,383.61686363901424,6.879073135409124,2122.7221759443037,0.00821275,1.8160326045286853e+34,2.4753018495920814e+34,7.495572661704203e+44,2,3,2,1
20220725A,353.3152083,-9999.0,-35.99025,-9999.0,290.4,0.3,0.3,0.1926,-9999.0,8.3,-9999.0,-9999.0,8.674698795180722,-9999.0,-9999.0,72.0,6.0,6.0,0.0,-9999.0,ASKAP,-9999.0,920.5,336.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2408.02083,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,19.473885,18.15,18.529,17.843,17.232,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,16.552,15.681,15.13,-9999.0,-9999.0,-9999.0,-9999.0,20.9889,20.6221,0.00165056,-71.18630682,30.732023239135746,35.42010419220222,56.35593026435042,0.0,224.247872568662,6.9595841019621,974.4269735122036,0.00764015,9.855166210672946e+33,1.5521793933149075e+34,4.115271484919609e+44,2,3,2,1
20220918A,17.592125,-9999.0,-70.81138889,-9999.0,656.8,0.4,0.4,0.491,-9999.0,9.5,-9999.0,-9999.0,5.7894736842105265,-9999.0,-9999.0,55.0,2.0,2.0,0.0,-9999.0,ASKAP,-9999.0,1271.5,336.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2408.02083,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,22.239,-9999.0,-9999.0,23.63,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,22.16,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,300.68510778,-46.23418998,40.74324417114258,38.658332579767944,107.90198662931776,1.0,577.3984232490894,6.3715627095908784,2865.66284131442,0.01207925,5.688532232465663e+34,3.5842807048669575e+34,2.1746903906810374e+45,2,0,2,1
20221106A,56.70479167,-9999.0,-25.56980556,-9999.0,343.8,0.8,0.8,0.2044,-9999.0,8.3,-9999.0,-9999.0,9.638554216867467,-9999.0,-9999.0,80.0,2.0,2.0,0.0,-9999.0,ASKAP,-9999.0,1631.5,336.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2408.02083,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,21.15,23.26,20.48,21.55,20.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,20.95,-9999.0,20.14,-9999.0,-9999.0,-9999.0,-9999.0,21.0209,20.9137,220.90097555,-50.87882228,34.789581298828125,30.711788169479156,92.39970147040135,0.0,278.2986305316927,6.891398206575889,1041.158419889876,0.01354145,1.250133750888937e+34,6.26769522309625e+33,5.1691016933136085e+44,2,3,2,1
